student_id,item_code,construct,question,answer,constraint
DT2026-396,TS04,Spending Habits,"Mr. A is accompanying a good friend on a shopping spree at a local mall. In a large department store with a ""one-day-only sale"" (everything 10-60% off), he realizes he doesn't need anything, yet can't resist and ends up spending almost ₹8,000 on stuff. Mr. B, in the same situation, figures he can get great deals on items he needs, yet the thought of spending the money keeps him from buying. In terms of your own behavior, who are you more similar to?",Somewhat like A,0
DT2026-396,NU01,Need for Uniqueness,I often combine possessions in such a way that I create a personal image that cannot be duplicated,4 - Agree a little,0
DT2026-396,NU02,Need for Uniqueness,Having an eye for products that are interesting and unusual assists me in establishing a distinctive image,4 - Agree a little,0
DT2026-396,NU03,Need for Uniqueness,"When it comes to the products I buy and the situations in which I use them, I have broken customs and rules",3 - Neither agree nor disagree,0
DT2026-396,NU04,Need for Uniqueness,"When a product I own becomes popular among the general population, I begin to use it less",3 - Neither agree nor disagree,0
DT2026-396,SM01,Self-Monitoring,"In social situations, I have the ability to alter my behavior if I feel that something else is called for",3 - Neither agree nor disagree,0
DT2026-396,SM02,Self-Monitoring,"I have the ability to control the way I come across to people, depending on the impression I wish to give them",4 - Agree a little,0
DT2026-396,SM03,Self-Monitoring,I have found that I can adjust my behavior to meet the requirements of any situation I find myself in,4 - Agree a little,0
DT2026-396,SM04,Self-Monitoring,My powers of intuition are quite good when it comes to understanding others' emotions and motives,4 - Agree a little,0
DT2026-396,MAX01,Maximization,I often find it difficult to shop for a gift for a friend,2 - Disagree a little,0
DT2026-396,MAX02,Maximization,"When shopping, I have a hard time finding clothing that I really love",2 - Disagree a little,0
DT2026-396,MAX03,Maximization,"No matter what I do, I have the highest standards for myself",4 - Agree a little,0
DT2026-396,MAX04,Maximization,I never settle for second best,3 - Neither agree nor disagree,0
DT2026-396,CB01,Amazon.in Shopping Behavior,How many online orders do you place in a typical month (all platforms)?,0-1,0
DT2026-396,CB02,Amazon.in Shopping Behavior,What share of your online shopping happens on Amazon.in (vs. Flipkart/Myntra/quick-commerce/others)?,About half,0
DT2026-396,CB03,Amazon.in Shopping Behavior,What is your typical single-order value on Amazon.in?,"₹700-1,500",0
DT2026-396,CB04,Amazon.in Shopping Behavior,Which categories do you buy online most often? (pick up to 3),"Groceries/household, Electronics, Books/media",0
DT2026-396,CB05,Amazon.in Shopping Behavior,Do you have an Amazon Prime membership?,Yes - shared/family,0
DT2026-396,CB06,Amazon.in Shopping Behavior,"How long do you research before buying electronics over ₹2,000?",A few days,0
DT2026-396,CB07,Amazon.in Shopping Behavior,"Before buying, do you compare prices across platforms?",Sometimes,0
DT2026-396,CB08,Amazon.in Shopping Behavior,If the same item costs ₹50 less but arrives 3 days later - which do you pick?,Pricier and faster,0
DT2026-396,CB09,Amazon.in Shopping Behavior,How often do you return items you bought online?,Rarely (under 10%),0
DT2026-396,CB10,Amazon.in Shopping Behavior,How many reviews do you typically read before buying something new?,"I read extensively, including negative ones",0
DT2026-396,CB11,Amazon.in Shopping Behavior,What star rating is your minimum for an unfamiliar product?,3.5+,0
DT2026-396,CB12,Amazon.in Shopping Behavior,Do you write reviews yourself?,Sometimes,0
DT2026-396,CB13,Amazon.in Shopping Behavior,"Do you notice or avoid ""Sponsored"" listings in search results?",I notice but don't mind,0
DT2026-396,CB14,Amazon.in Shopping Behavior,"When a product has an ""Amazon's Choice"" or ""Bestseller"" badge, you...",Trust it more,0
DT2026-396,CB15,Amazon.in Shopping Behavior,How do you usually sort or filter search results?,By rating,0
DT2026-396,CB16,Amazon.in Shopping Behavior,During big sale events (Great Indian Festival / Prime Day) you typically...,Plan purchases in advance for the sale,0
DT2026-396,CB17,Amazon.in Shopping Behavior,How often do you abandon a cart without buying?,Sometimes,0
DT2026-396,CB18,Amazon.in Shopping Behavior,Do you use EMI / pay-later options for larger purchases?,Occasionally,0
DT2026-396,CB19,Amazon.in Shopping Behavior,How many gifts do you buy online per year?,0-2,0
DT2026-396,CB20,Amazon.in Shopping Behavior,Which device do you mainly shop on?,Laptop/desktop,0
DT2026-396,CB21,Amazon.in Shopping Behavior,Delivery to your address is typically...,2-3 days,0
DT2026-396,CB22,Amazon.in Shopping Behavior,"Which category would you NEVER buy online, and why?",Undergarments,0
DT2026-396,VC01,Values and Constraints,Dietary practice (affects food/supplement purchases):,Non-vegetarian,1
DT2026-396,VC02,Values and Constraints,Allergies or ingredients you must avoid:,NA,1
DT2026-396,VC03,Values and Constraints,"Materials you avoid (e.g., leather, fur, specific metals):",None,1
DT2026-396,VC04,Values and Constraints,"Ethical exclusions (e.g., no animal testing, no fast fashion):",None,1
DT2026-396,VC05,Values and Constraints,Brands you personally boycott or refuse to buy - and why:,None,1
DT2026-396,VC06,Values and Constraints,Fragrance sensitivity (perfumed products)?,No preference,0
DT2026-396,VC07,Values and Constraints,Would you accept a certified refurbished product at 30% off?,No,0
DT2026-396,VC08,Values and Constraints,How important is warranty/after-sales service to you?,Important,0
DT2026-396,VC09,Values and Constraints,Your aesthetic leans...,Minimal/clean,0
DT2026-396,VC10,Values and Constraints,Colors you gravitate toward in products/clothing:,Orange/Blue/Yellow/Black,0
DT2026-396,VC11,Values and Constraints,Maximum delivery wait you accept for non-urgent items:,1 week,0
DT2026-396,VC12,Values and Constraints,"Sizes you buy (clothing/shoe), if applicable:",Shoe - UK 11,0
DT2026-396,PR01,Predictive Preferences,"You get ₹2,000 guilt-free right now. Which category does it go to?",Books/hobby,0
DT2026-396,PR02,Predictive Preferences,What is the next thing you are actually planning to buy online?,Lamp,0
DT2026-396,PR03,Predictive Preferences,"Your dream ""small splurge"" under ₹10,000 would be:",Projector,0
DT2026-396,PR04,Predictive Preferences,The single item you have repurchased most often online:,T-shirt,0
DT2026-396,PR05,Predictive Preferences,One brand you would never switch away from - and for what product:,Jockey,0
DT2026-396,PR06,Predictive Preferences,A category where the cheapest option always wins for you:,Batteries,0
DT2026-396,PR07,Predictive Preferences,A category where you always go premium:,Soda,0
DT2026-396,PR08,Predictive Preferences,Name one item currently in your amazon.in cart or wishlist:,Projector,0
DT2026-396,PR09,Predictive Preferences,"Describe the birthday gift (max ₹1,500) you would buy your closest friend, and why:",Pastel Colours - They mentioned they want it,0
